2025-04-24 23:59:27 - sandbox - [INFO]: Test Logger Initialized!
2025-04-24 23:59:27 - sandbox - [ERROR]: Test Error Message!
2025-04-24 23:59:27 - sandbox - [WARNING]: Test Warning Message!
2025-04-25 00:00:53 - sandbox - [INFO]: Test Logger Initialized!
2025-04-25 00:00:53 - sandbox - [ERROR]: Test Error Message!
2025-04-25 00:00:53 - sandbox - [WARNING]: Test Warning Message!
2025-04-25 00:01:10 - sandbox - [INFO]: Test Logger Initialized!
2025-04-25 00:01:10 - sandbox - [ERROR]: Test Error Message!
2025-04-25 00:01:10 - sandbox - [WARNING]: Test Warning Message!
2025-04-25 00:01:12 - engine - [INFO]: Epoch: 01, Loss: nan, valLoss: nan, Train: 3.10%, Valid: 3.13%, Test: 3.42%, 
2025-04-25 00:04:20 - engine - [INFO]: Epoch: 628, Loss: 1.762, valLoss: 1.795, Train: 39.84%, Valid: 38.07%, Test: 40.68%, 
2025-04-25 00:04:20 - engine - [INFO]: Epoch: 629, Loss: 1.758, valLoss: 1.794, Train: 39.89%, Valid: 38.11%, Test: 40.71%, 
2025-04-25 00:04:20 - engine - [INFO]: Epoch: 630, Loss: 1.759, valLoss: 1.793, Train: 39.00%, Valid: 37.27%, Test: 39.80%, 
2025-04-25 00:04:20 - engine - [INFO]: Epoch: 632, Loss: 1.754, valLoss: 1.790, Train: 40.23%, Valid: 38.22%, Test: 40.97%, 
2025-04-25 00:04:20 - engine - [INFO]: Epoch: 633, Loss: 1.754, valLoss: 1.788, Train: 40.46%, Valid: 38.36%, Test: 41.04%, 
2025-04-25 00:04:21 - engine - [INFO]: Epoch: 636, Loss: 1.751, valLoss: 1.783, Train: 40.50%, Valid: 38.40%, Test: 41.08%, 
2025-04-25 00:04:21 - engine - [INFO]: Epoch: 640, Loss: 1.742, valLoss: 1.776, Train: 40.89%, Valid: 38.73%, Test: 41.37%, 
2025-04-25 00:04:21 - engine - [INFO]: Epoch: 641, Loss: 1.743, valLoss: 1.774, Train: 40.94%, Valid: 38.76%, Test: 41.55%, 
2025-04-25 00:04:21 - engine - [INFO]: Epoch: 644, Loss: 1.736, valLoss: 1.768, Train: 41.05%, Valid: 38.91%, Test: 41.62%, 
2025-04-25 00:04:21 - engine - [INFO]: Epoch: 645, Loss: 1.731, valLoss: 1.766, Train: 41.13%, Valid: 38.95%, Test: 41.69%, 
2025-04-25 00:04:21 - engine - [INFO]: Epoch: 648, Loss: 1.728, valLoss: 1.759, Train: 41.24%, Valid: 39.13%, Test: 41.80%, 
2025-04-25 00:04:22 - engine - [INFO]: Epoch: 649, Loss: 1.730, valLoss: 1.757, Train: 41.41%, Valid: 39.24%, Test: 41.98%, 
2025-04-25 00:04:22 - engine - [INFO]: Epoch: 650, Loss: 1.724, valLoss: 1.755, Train: 41.43%, Valid: 39.24%, Test: 41.95%, 
2025-04-25 00:04:22 - engine - [INFO]: Epoch: 655, Loss: 1.714, valLoss: 1.743, Train: 41.89%, Valid: 39.53%, Test: 42.60%, 
2025-04-25 00:04:22 - engine - [INFO]: Epoch: 658, Loss: 1.706, valLoss: 1.735, Train: 41.93%, Valid: 39.56%, Test: 42.71%, 
2025-04-25 00:04:22 - engine - [INFO]: Epoch: 659, Loss: 1.706, valLoss: 1.732, Train: 42.06%, Valid: 39.75%, Test: 42.71%, 
2025-04-25 00:04:22 - engine - [INFO]: Epoch: 660, Loss: 1.700, valLoss: 1.729, Train: 41.91%, Valid: 39.49%, Test: 42.60%, 
2025-04-25 00:04:23 - engine - [INFO]: Epoch: 662, Loss: 1.694, valLoss: 1.724, Train: 42.38%, Valid: 40.44%, Test: 43.18%, 
2025-04-25 00:04:23 - engine - [INFO]: Epoch: 665, Loss: 1.690, valLoss: 1.715, Train: 42.48%, Valid: 40.51%, Test: 43.22%, 
2025-04-25 00:04:23 - engine - [INFO]: Epoch: 666, Loss: 1.683, valLoss: 1.712, Train: 42.64%, Valid: 40.84%, Test: 43.48%, 
2025-04-25 00:04:23 - engine - [INFO]: Epoch: 669, Loss: 1.675, valLoss: 1.703, Train: 42.79%, Valid: 41.05%, Test: 43.62%, 
2025-04-25 00:04:23 - engine - [INFO]: Epoch: 670, Loss: 1.675, valLoss: 1.700, Train: 42.69%, Valid: 40.91%, Test: 43.58%, 
2025-04-25 00:04:23 - engine - [INFO]: Epoch: 672, Loss: 1.664, valLoss: 1.693, Train: 43.00%, Valid: 41.16%, Test: 43.95%, 
2025-04-25 00:04:23 - engine - [INFO]: Epoch: 673, Loss: 1.664, valLoss: 1.690, Train: 42.86%, Valid: 41.20%, Test: 43.95%, 
2025-04-25 00:04:24 - engine - [INFO]: Epoch: 675, Loss: 1.658, valLoss: 1.684, Train: 43.10%, Valid: 41.24%, Test: 44.09%, 
2025-04-25 00:04:24 - engine - [INFO]: Epoch: 676, Loss: 1.654, valLoss: 1.680, Train: 43.35%, Valid: 41.35%, Test: 44.49%, 
2025-04-25 00:04:24 - engine - [INFO]: Epoch: 679, Loss: 1.649, valLoss: 1.671, Train: 43.53%, Valid: 41.53%, Test: 44.57%, 
2025-04-25 00:04:24 - engine - [INFO]: Epoch: 680, Loss: 1.638, valLoss: 1.667, Train: 43.38%, Valid: 41.38%, Test: 44.42%, 
2025-04-25 00:04:24 - engine - [INFO]: Epoch: 682, Loss: 1.636, valLoss: 1.661, Train: 43.67%, Valid: 41.71%, Test: 44.78%, 
2025-04-25 00:04:24 - engine - [INFO]: Epoch: 685, Loss: 1.623, valLoss: 1.651, Train: 43.95%, Valid: 41.93%, Test: 45.11%, 
2025-04-25 00:04:24 - engine - [INFO]: Epoch: 687, Loss: 1.625, valLoss: 1.644, Train: 44.24%, Valid: 42.07%, Test: 45.22%, 
2025-04-25 00:04:25 - engine - [INFO]: Epoch: 688, Loss: 1.620, valLoss: 1.641, Train: 44.32%, Valid: 42.18%, Test: 45.37%, 
2025-04-25 00:04:25 - engine - [INFO]: Epoch: 690, Loss: 1.616, valLoss: 1.635, Train: 44.69%, Valid: 42.55%, Test: 45.51%, 
2025-04-25 00:04:25 - engine - [INFO]: Epoch: 694, Loss: 1.599, valLoss: 1.623, Train: 45.12%, Valid: 42.84%, Test: 46.02%, 
2025-04-25 00:04:25 - engine - [INFO]: Epoch: 697, Loss: 1.587, valLoss: 1.613, Train: 45.33%, Valid: 42.95%, Test: 46.20%, 
2025-04-25 00:04:25 - engine - [INFO]: Epoch: 700, Loss: 1.582, valLoss: 1.604, Train: 45.68%, Valid: 43.16%, Test: 46.53%, 
2025-04-25 00:04:25 - engine - [INFO]: Epoch: 701, Loss: 1.580, valLoss: 1.601, Train: 45.70%, Valid: 43.24%, Test: 46.56%, 
2025-04-25 00:04:26 - engine - [INFO]: Epoch: 704, Loss: 1.570, valLoss: 1.592, Train: 46.18%, Valid: 43.78%, Test: 47.22%, 
2025-04-25 00:04:26 - engine - [INFO]: Epoch: 707, Loss: 1.564, valLoss: 1.584, Train: 46.49%, Valid: 44.15%, Test: 47.66%, 
